userId,url,imageFileName,uploadedAt,mimeType,imageType,imageWidth,imageHeight,imageRatio,imageRotation,imageScale,imageArtist,size
76,www.kris-murphy.org,autem_voluptatum\minus.txt,2023-10-19T00:22:05.425347,image/png,thumbnail,748,2859,0.83,116,8.31,Cassatt,92351
95,www.wes-cruickshank.io,doloremque_suscipit\optio.webm,2024-04-30T00:22:05.436355600,image/png,full,1884,2526,0.96,116,6.96,Magritte,2504490
6,www.venus-lind.co,esse_dolor\error.js,2023-11-29T00:22:05.437355700,image/jpeg,full,5053,2499,0.15,313,6.26,Matisse,3879465
36,www.bryce-rodriguez.org,odio_aut\ea.tiff,2023-10-29T00:22:05.437355700,image/png,full,4560,150,0.91,253,1.14,Donatello,2809465
65,www.harry-lemke.info,ut_exercitationem\explicabo.txt,2024-02-21T00:22:05.438355100,image/png,thumbnail,300,626,0.26,34,4.55,Ansel Adams,1940677
0,www.devorah-hilll.com,deserunt_modi\porro.csv,2023-09-16T00:22:05.438355100,image/jpeg,full,2298,1058,0.24,280,2.49,Caravaggio,1242661
32,www.hyman-johnson.info,et_vitae\consequatur.png,2024-07-10T00:22:05.438355100,image/png,thumbnail,3736,4866,0.18,202,8.78,Gauguin,4586427
61,www.eladia-maggio.com,tempore_dignissimos\perspiciatis.json,2024-08-16T00:22:05.438355100,image/png,full,3060,4553,0.86,289,3.82,Munch,3227954
34,www.quinn-mckenzie.com,ab_nostrum\aut.key,2024-03-28T00:22:05.438355100,image/png,thumbnail,1663,3237,0.14,33,7.59,Ansel Adams,5041434
0,www.thanh-hane.co,vitae_pariatur\sint.csv,2023-10-27T00:22:05.439354600,image/jpeg,full,2697,2780,0.52,343,9.07,Bernini,3201131
99,www.adria-hartmann.name,earum_illo\quo.jpeg,2023-11-04T00:22:05.439354600,image/jpeg,full,3076,1674,0.93,141,8.96,Bernini,3346717
58,www.pa-carter.io,exercitationem_doloremque\sunt.csv,2024-02-16T00:22:05.439354600,image/png,full,1057,1916,0.72,332,6.48,Ansel Adams,1311464
53,www.hue-lueilwitz.biz,aut_laboriosam\ut.odt,2024-04-19T00:22:05.439354600,image/jpeg,thumbnail,3919,2335,0.75,353,7.56,Matisse,2472422
26,www.lola-hirthe.co,nisi_rerum\distinctio.webm,2023-11-24T00:22:05.439354600,image/jpeg,thumbnail,4731,4366,0.39,276,0.18,Seurat,2964682
33,www.nita-ryan.name,dolorum_ad\quasi.pptx,2023-09-25T00:22:05.439354600,image/png,thumbnail,2105,1351,0.95,82,3.22,Pollock,4340869
45,www.newton-nicolas.info,reprehenderit_hic\esse.doc,2024-01-04T00:22:05.440353600,image/jpeg,thumbnail,2673,2209,0.44,131,9.64,Monet,3353212
12,www.faye-cole.biz,dolores_illo\dolorum.avi,2023-12-18T00:22:05.440353600,image/png,full,806,2100,0.40,77,0.22,Rubens,3754736
59,www.peter-koepp.io,est_necessitatibus\inventore.txt,2023-11-27T00:22:05.440353600,image/jpeg,thumbnail,3800,1308,0.42,328,4.70,Munch,2862387
15,www.morris-boehm.biz,voluptatibus_numquam\fugiat.json,2024-03-10T00:22:05.440353600,image/png,full,242,940,0.75,299,7.08,Michelangelo,195210
11,www.ned-bosco.co,labore_ipsa\enim.js,2024-03-07T00:22:05.440353600,image/jpeg,thumbnail,3182,636,0.54,140,7.46,Renoir,3007853
